age,sex,job,housing,saving_accounts,credit_amount,duration,purpose,risk,income,education,marital_status,number_of_children,credit_score,credit_assignment
37,male,1,own,quite rich,34233.528659752454,9,radio/TV,good,415316.30198652967,Associates's Degree,Married,0,Average,No
40,male,3,own,little,30671.81930494828,36,education,bad,52275.10714160072,Associate's Degree,Single,0,Average,Yes
25,male,2,own,moderate,23621.73508126789,12,radio/TV,bad,1131638.901111706,Associates's Degree,Single,2,High,No
25,male,2,own,little,34659.620482229824,9,furniture/equipment,good,1151189.8660918763,High School Diploma,Single,3,Average,No
31,male,2,own,little,48852.21655595824,18,business,good,72047.12698779893,Master's Degree,Single,1,Average,No
44,male,2,rent,little,41432.10976654432,6,radio/TV,good,69029.79591854152,Master's Degree,Single,0,High,Yes
29,female,2,own,little,50887.82939070411,21,radio/TV,good,549315.4697529144,Doctorate,Single,1,Average,Yes
23,female,2,own,moderate,31871.894013471738,18,repairs,bad,283398.6325976738,Bachelor's Degree,Married,3,High,Yes
43,male,1,own,little,116405.68065214076,24,car,good,1020156.902388228,Doctorate,Single,0,Average,No
27,male,1,own,little,12429.593290708612,14,car,good,842484.8803239405,Doctorate,Married,1,Average,Yes
38,male,2,own,little,19671.06758646025,24,radio/TV,bad,125720.1308667275,Doctorate,Single,2,Average,No
29,female,0,rent,quite rich,19709.701740070945,24,car,bad,1472004.9772142866,High School Diploma,Single,3,Low,Yes
27,male,3,own,rich,100161.01052253888,24,vacation/others,good,883165.1114289844,Doctorate,Single,3,High,Yes
36,male,2,free,little,13850.733248392313,7,radio/TV,good,1139906.0126748974,High School Diploma,Married,1,Low,No
22,female,2,rent,little,6884.569790245035,18,radio/TV,bad,611411.7578385841,Doctorate,Single,0,Low,No
41,male,2,own,little,41040.6337378913,30,business,good,1005831.4454984164,High School Diploma,Married,1,High,No
25,female,3,own,little,127312.26597078262,36,education,bad,668416.412049456,Doctorate,Married,1,Low,No
45,male,2,own,little,35266.58406014684,24,car,bad,186826.24280754803,Bachelor's Degree,Married,2,Average,No
28,male,3,rent,quite rich,150325.67080959704,36,car,bad,982508.7594446082,Doctorate,Married,0,High,No
35,male,2,own,little,89392.89696836528,36,car,good,138547.9695166027,Master's Degree,Married,3,Average,No
41,female,1,rent,little,19713.979521917165,9,education,good,1380076.1499915523,Master's Degree,Single,0,Average,No
37,male,3,own,moderate,193087.93455929472,48,radio/TV,good,1441776.7763891262,Doctorate,Married,3,Low,No
42,female,2,own,little,79605.7971871909,24,radio/TV,good,893003.9027104928,Bachelor's Degree,Single,1,High,Yes
34,female,2,own,moderate,22380.956381706903,12,radio/TV,good,198630.50308094444,Bachelor's Degree,Married,0,Average,No
31,male,2,own,little,57845.153576266166,24,radio/TV,bad,1045770.1485917502,Bachelor's Degree,Married,1,Low,Yes
28,male,1,own,little,46903.51123526423,21,car,good,50033.29194774821,Doctorate,Single,0,Low,No
35,female,2,own,quite rich,21186.275758184536,12,radio/TV,good,519344.6649093583,Bachelor's Degree,Married,0,High,Yes
31,female,3,own,little,42880.354301045954,21,car,good,542210.3057115622,High School Diploma,Single,0,Average,No
24,male,2,own,little,29608.4334254977,18,radio/TV,good,1093338.6434962,Associates's Degree,Single,1,High,Yes
28,male,2,own,little,32606.778025385403,11,business,good,683377.9650624671,High School Diploma,Single,3,Average,No
44,female,1,rent,little,29757.11615250844,12,radio/TV,good,95899.55354140706,Bachelor's Degree,Married,3,High,No
35,male,3,own,little,16285.361101097726,6,furniture/equipment,good,907085.5304690372,Doctorate,Married,0,Average,No
27,male,2,rent,little,121280.2897297596,36,business,bad,1265708.281095815,Doctorate,Married,3,Average,Yes
27,female,2,own,little,37557.51420111547,18,radio/TV,good,1327190.5224197784,Associates's Degree,Single,1,Average,No
24,male,2,own,little,142272.62631831056,36,car,bad,334083.8858305347,High School Diploma,Married,1,Low,Yes
28,male,2,own,little,15144.519049586035,12,car,bad,603219.7547557375,Bachelor's Degree,Married,2,Low,No
37,male,1,own,little,18084.69408207165,9,radio/TV,good,73427.2504509506,Associates's Degree,Married,2,High,Yes
42,male,2,free,little,159529.24722333817,36,car,good,1350268.793426942,Bachelor's Degree,Single,0,High,Yes
22,male,2,own,quite rich,24243.502430033008,15,repairs,good,360414.416044038,High School Diploma,Single,2,High,No
37,male,1,own,little,34343.0780015163,9,radio/TV,good,392289.20296358765,Associates's Degree,Married,0,Average,No
42,female,2,rent,rich,6344.680120933967,12,radio/TV,good,67385.54235917388,Master's Degree,Single,0,High,Yes
29,female,0,own,little,62308.29066772354,36,domestic appliances,good,183152.15192024744,Associates's Degree,Married,0,Average,No
23,female,2,rent,quite rich,24891.03792090577,24,radio/TV,good,987930.1814867782,Bachelor's Degree,Single,0,Average,No
31,male,3,free,little,115596.83598212898,48,vacation/others,good,862969.3816891359,Bachelor's Degree,Single,3,Average,No
19,female,1,rent,little,16219.11551579156,12,furniture/equipment,good,603972.709805866,Doctorate,Single,1,Average,Yes
49,male,2,own,little,138581.39222150217,30,furniture/equipment,bad,1414958.0305553926,Associates's Degree,Married,0,Low,Yes
26,male,2,rent,moderate,43558.83519609364,15,business,good,854199.5847936228,Associates's Degree,Married,1,Average,No
28,male,2,own,little,46951.71928534725,48,radio/TV,bad,649426.640993917,Doctorate,Married,0,Low,No
29,female,2,own,moderate,52496.69058740539,21,radio/TV,good,599230.3993473069,Doctorate,Single,1,Average,Yes
32,male,2,own,moderate,42259.75070351428,18,car,good,1216733.7694426735,Doctorate,Married,3,High,No
39,male,3,rent,little,50110.58963615453,24,furniture/equipment,bad,757549.0470906087,Master's Degree,Single,1,Low,No
27,male,2,own,little,133430.3587061977,27,car,good,98805.9530344803,Master's Degree,Married,2,High,Yes
26,male,2,rent,rich,41068.56993191072,15,business,good,845165.9278010991,Associates's Degree,Married,1,Average,No
22,male,2,own,quite rich,20806.225537484275,12,radio/TV,bad,854635.3115325534,Doctorate,Married,3,High,No
36,male,2,own,little,68777.35539089552,18,business,bad,193972.00887022188,High School Diploma,Single,2,High,Yes
34,female,3,own,little,31044.76259743766,24,furniture/equipment,bad,1389717.5274928913,Master's Degree,Married,0,High,No
25,female,3,own,moderate,129682.49098415831,36,education,bad,696457.648809015,Doctorate,Married,1,Low,No
44,male,3,rent,moderate,53820.584176608056,6,furniture/equipment,bad,1171892.396568045,Associates's Degree,Married,2,Average,No
20,male,2,rent,little,59107.50034889556,24,furniture/equipment,good,56267.95236731271,Bachelor's Degree,Single,0,Average,Yes
29,male,3,rent,little,30517.25800256255,24,radio/TV,good,1016182.2925451922,Associates's Degree,Single,1,Average,No
50,male,2,own,little,85540.691549205,27,business,bad,320077.5671607634,Bachelor's Degree,Single,0,Average,No
55,male,2,own,quite rich,22790.264175958284,12,car,good,159204.32553190007,Master's Degree,Single,2,Average,No
24,male,1,own,little,58763.41280179928,21,car,good,731246.7639395805,High School Diploma,Single,3,Average,Yes
37,male,1,own,little,18038.583411426123,9,radio/TV,good,70466.48290020411,Associates's Degree,Married,2,High,Yes
33,female,2,own,little,52478.55053355792,18,furniture/equipment,good,1490964.7038405903,Associates's Degree,Married,1,High,No
25,female,1,own,little,21249.102327008084,24,car,bad,947881.0915237163,High School Diploma,Married,0,Low,No
29,female,0,own,little,64685.19512765746,36,domestic appliances,good,193644.67270349432,Associates's Degree,Married,0,Average,No
25,male,1,own,quite rich,73231.6275082338,45,radio/TV,bad,40941.98901942882,Associate's Degree,Single,0,Average,Yes
27,male,1,own,little,19850.05935676597,10,car,bad,692473.6235318976,Master's Degree,Married,2,Average,No
44,male,2,free,little,156629.57923472192,48,car,bad,288356.3374803166,Doctorate,Single,3,High,No
57,male,2,free,little,34154.33048812969,36,car,bad,44884.3563307568,Associate's Degree,Single,0,Average,No
34,male,1,free,little,59659.13363618495,48,business,bad,459888.6215779167,Bachelor's Degree,Single,3,Average,No
24,female,2,rent,quite rich,32064.02113380912,18,furniture/equipment,bad,590015.474587794,Master's Degree,Married,3,High,Yes
36,female,2,own,little,34488.82681223571,12,car,good,1162705.073803692,Associates's Degree,Single,0,High,No
31,male,2,own,rich,50794.557465810576,24,radio/TV,good,163411.7957188959,Master's Degree,Single,2,Low,Yes
23,female,2,own,little,31799.434338361487,18,repairs,bad,293970.9920348255,Bachelor's Degree,Married,3,High,Yes
37,female,1,own,little,20802.837941723817,12,car,bad,911011.5900027596,Associates's Degree,Married,2,High,Yes
40,male,1,rent,moderate,25570.61009440252,10,car,good,1325402.9117937055,Associates's Degree,Married,3,Average,No
43,female,1,own,little,23862.508158766777,15,radio/TV,good,64393.36047559416,Bachelor's Degree,Single,3,High,Yes
42,male,1,own,rich,23919.723101076022,4,radio/TV,good,1181006.7120434393,Bachelor's Degree,Married,1,Average,No
41,male,2,own,little,40667.86929810584,30,business,good,1068342.5521999798,High School Diploma,Married,1,High,No
48,male,2,own,little,16197.095379954426,12,car,bad,106358.93440569004,Doctorate,Married,3,Low,Yes
37,male,2,own,little,167003.99444462708,48,radio/TV,good,1261830.918215206,Associates's Degree,Married,2,Average,Yes
24,female,0,rent,little,114267.40409884635,12,car,good,1221334.77377585,Doctorate,Single,0,Low,No
35,male,0,own,little,24684.39926659291,9,car,good,202848.8008097445,Bachelor's Degree,Married,2,Average,Yes
30,male,2,own,little,10391.647732893422,12,repairs,bad,79542.15390701822,Doctorate,Married,1,High,No
63,male,2,own,quite rich,45057.71141558398,24,car,good,1011537.1375514644,Associates's Degree,Married,2,Low,No
26,male,2,own,little,67842.84890357633,42,radio/TV,bad,125145.40654194215,Doctorate,Married,3,Low,Yes
35,male,2,free,quite rich,136121.61377827355,48,car,good,596784.768544841,High School Diploma,Single,3,High,Yes
54,female,2,rent,little,114591.48894820892,36,car,good,387690.5193091988,Associates's Degree,Single,1,High,No
22,male,2,free,little,49381.91271885969,24,furniture/equipment,good,1302366.6509628496,Doctorate,Single,0,Low,No
54,male,2,free,little,25042.17551622246,24,education,good,1399724.6038789337,Doctorate,Married,0,High,No
26,female,1,rent,rich,54575.64245691274,21,furniture/equipment,good,664699.8613025263,Master's Degree,Single,3,High,No
38,female,2,own,little,24985.362098229576,24,radio/TV,good,438820.05500018987,Bachelor's Degree,Single,1,Low,Yes
38,male,2,own,little,12900.656039745974,12,radio/TV,good,448836.5203893414,High School Diploma,Single,3,High,No
33,female,1,own,moderate,52231.31173739561,9,car,good,623374.710855801,Associates's Degree,Married,3,Low,No
27,male,3,free,moderate,146121.41065522557,60,radio/TV,good,383054.2238835989,Bachelor's Degree,Single,0,Low,No
45,male,3,own,little,134937.31051747847,14,car,bad,1372699.7911948874,Bachelor's Degree,Married,2,High,Yes
49,female,2,own,little,17003.743654994552,12,radio/TV,good,1002369.714092428,Doctorate,Single,3,High,Yes
24,female,2,rent,little,19353.01465203642,24,car,bad,819388.9312499737,Bachelor's Degree,Married,3,High,No
32,male,2,own,little,30692.85183713649,24,radio/TV,bad,183352.8880518626,Bachelor's Degree,Married,2,High,Yes
26,female,2,own,little,12372.874330601206,12,furniture/equipment,good,1131496.4860153508,High School Diploma,Single,2,Average,No
53,male,2,free,little,74278.43924360942,24,car,bad,90837.2678018284,Bachelor's Degree,Married,3,High,No
35,female,1,own,little,164186.44287521378,47,car,good,869973.467046629,Bachelor's Degree,Single,3,Low,Yes
58,male,2,rent,little,251486.0095993496,54,business,bad,83830.3595887647,Doctorate,Married,1,High,No
59,female,2,rent,little,98784.84111275336,48,business,bad,888588.5897408078,Doctorate,Single,2,Average,No
27,female,2,rent,little,34734.3867074095,10,furniture/equipment,good,25911.316591494346,High School Diploma,Single,0,Low,No
35,male,3,own,little,16605.637131448842,6,furniture/equipment,good,915078.0387428536,Doctorate,Married,0,Average,No
23,female,1,rent,little,53014.4748806067,24,furniture/equipment,bad,1006007.731002823,Master's Degree,Married,3,Average,Yes
38,male,2,free,little,107554.12420142576,48,business,good,474062.88702640304,Doctorate,Married,2,Average,Yes
23,male,2,rent,little,53518.48985978315,15,car,good,770934.7836442452,Master's Degree,Single,0,Low,Yes
31,male,2,own,quite rich,72400.73320076382,24,car,bad,77108.24298906565,Doctorate,Married,0,High,Yes
27,male,2,own,quite rich,130714.29108108352,24,business,bad,132930.90223286714,Associates's Degree,Married,3,Low,Yes
26,female,2,own,little,41830.16915843833,33,business,good,869995.4251768583,Associates's Degree,Single,1,High,Yes
26,male,2,own,moderate,21788.75252909988,12,car,good,1108504.9158761643,Doctorate,Married,2,High,Yes
36,male,2,own,little,36949.272279904784,36,radio/TV,good,146540.12460566175,Master's Degree,Married,0,High,No
48,female,1,own,quite rich,66205.28594842427,24,furniture/equipment,good,1094063.5691269203,Master's Degree,Single,0,Low,Yes
26,male,3,own,little,51186.14410877266,24,radio/TV,good,1118937.0854572847,Master's Degree,Married,1,High,Yes
27,female,2,own,little,54381.9546316292,48,business,good,1225597.411926145,Doctorate,Married,3,Average,Yes
57,male,1,rent,little,19894.17804774652,12,business,good,93257.91529450269,Bachelor's Degree,Married,3,High,Yes
22,male,2,own,little,31259.62071585212,24,radio/TV,bad,312862.49693674454,Doctorate,Married,2,Low,No
35,female,2,free,little,87897.27083085418,15,car,good,26825.47856557969,Associates's Degree,Married,2,Low,Yes
30,male,2,free,moderate,53745.35526664504,24,furniture/equipment,bad,233136.48601789327,Bachelor's Degree,Married,0,Average,No
30,male,2,free,little,48970.97839917895,24,furniture/equipment,good,315126.0297347288,High School Diploma,Single,0,High,Yes
34,female,2,own,little,23578.97405814147,12,radio/TV,good,191038.17553288635,Bachelor's Degree,Married,0,Average,No
54,female,2,rent,little,112845.61742554426,36,car,good,370799.6368469523,Associates's Degree,Single,1,High,No
27,male,2,own,little,40014.21624367886,36,repairs,good,244664.9073259627,Master's Degree,Single,1,High,Yes
39,male,1,own,quite rich,51881.5568442339,8,car,good,58128.06197932172,High School Diploma,Single,3,Low,Yes
23,female,2,own,moderate,31657.69718277304,18,repairs,bad,280792.5452755672,Bachelor's Degree,Married,3,High,Yes
25,male,2,own,moderate,14680.012388223451,15,furniture/equipment,good,1367347.0988931616,Doctorate,Single,1,Average,No
22,female,1,own,moderate,12628.509167632952,15,business,good,390326.22654806223,Bachelor's Degree,Married,2,Low,Yes
28,male,2,own,moderate,48886.140731579,48,radio/TV,bad,678223.1994000197,Doctorate,Married,0,Low,No
26,female,3,rent,moderate,85422.95448283033,24,car,good,1350360.3326922709,Associates's Degree,Single,3,High,Yes
26,female,2,own,little,36178.2247830514,18,radio/TV,good,489215.8271447604,High School Diploma,Single,1,Average,No
23,female,2,own,little,24091.29313313306,12,radio/TV,good,1007851.3572403808,High School Diploma,Single,0,High,No
25,female,1,own,little,43479.86571900799,15,repairs,good,429115.8056137762,High School Diploma,Single,2,Low,Yes
22,female,2,rent,little,6665.109414713805,18,radio/TV,bad,627578.0068231431,Doctorate,Single,0,Low,No
54,male,2,own,little,20146.26242368452,12,car,good,104904.34733523303,Master's Degree,Married,2,High,No
29,female,2,own,little,54783.73505297101,21,radio/TV,good,599540.2748836031,Doctorate,Single,1,Average,Yes
34,male,2,own,little,39230.86561307447,7,radio/TV,good,58723.30182087582,Doctorate,Married,1,High,No
35,male,2,own,little,66644.48316126221,24,furniture/equipment,good,1168793.308701686,High School Diploma,Married,2,Average,No
37,female,2,own,little,54624.37608794727,4,car,good,84418.27184410006,Associates's Degree,Married,3,Low,Yes
24,male,2,own,moderate,34024.93540917499,36,business,bad,200667.23773760645,Associates's Degree,Single,2,Average,No
20,female,2,rent,little,34029.774653483415,15,furniture/equipment,good,939934.8283115058,Associates's Degree,Married,3,High,Yes
43,male,3,own,little,246149.0084548419,36,vacation/others,good,61950.22894093601,Bachelor's Degree,Single,1,High,Yes
26,female,1,rent,little,55888.9314305807,21,furniture/equipment,good,703959.7078958587,Master's Degree,Single,3,High,No
28,male,2,own,little,21403.10283074877,6,car,good,111496.66942045344,Bachelor's Degree,Single,2,High,Yes
35,male,2,free,little,53082.09533445452,12,car,bad,1387879.9235199504,Associates's Degree,Single,3,Average,No
35,male,2,own,little,33705.546939055675,12,radio/TV,good,1177004.9562294,Associates's Degree,Married,2,Low,No
38,male,2,free,little,14744.343732293692,24,car,bad,1357395.048149407,Associates's Degree,Married,2,High,Yes
53,male,3,free,little,118699.47676660676,12,furniture/equipment,bad,1266873.1990210374,Associates's Degree,Single,2,Low,No
38,male,2,own,little,61784.440974193705,48,business,bad,1124184.8862597323,Bachelor's Degree,Married,3,Low,No
26,male,2,own,little,66274.55558814948,36,radio/TV,bad,350944.6785436268,Associates's Degree,Married,3,High,No
38,male,3,own,little,45986.80316034505,12,car,good,1104026.966031731,High School Diploma,Single,3,Average,No
51,male,2,free,little,44204.313975353405,24,furniture/equipment,good,1363351.5751681654,Master's Degree,Single,2,Average,No
36,female,1,own,little,25569.303324781933,21,business,good,1236763.431152338,Bachelor's Degree,Single,0,Low,Yes
46,male,2,free,moderate,101173.2485668338,48,car,bad,1160886.1456128152,High School Diploma,Married,1,Low,No
28,male,2,own,little,67970.21162587951,24,furniture/equipment,good,396533.4850876733,Doctorate,Married,2,High,Yes
22,male,2,own,little,39481.095482818666,18,furniture/equipment,bad,78264.73817741695,Master's Degree,Married,2,High,Yes
39,male,1,own,quite rich,6588.690428512632,6,radio/TV,good,55357.49494956744,Bachelor's Degree,Married,2,High,Yes
27,male,1,own,little,41054.760923332426,15,furniture/equipment,good,74658.7750396137,Master's Degree,Single,0,High,No
32,male,1,own,little,71539.41852859202,27,furniture/equipment,good,594898.5413550821,Master's Degree,Married,1,High,No
40,female,2,own,little,20254.85328188444,11,car,good,375547.7534806133,Doctorate,Married,3,Low,No
25,female,2,rent,little,19392.29209815628,12,car,bad,84629.14697224776,High School Diploma,Married,1,High,Yes
25,male,0,own,little,39742.8600156108,18,furniture/equipment,bad,486324.1551234547,Bachelor's Degree,Single,0,Low,Yes
22,male,2,own,little,37114.66445979687,18,furniture/equipment,bad,75644.7997267104,Master's Degree,Married,2,High,Yes
40,female,2,own,little,20310.360026598715,11,car,good,401473.94212462485,Doctorate,Married,3,Low,No
22,female,2,own,little,27314.50535426376,18,furniture/equipment,bad,151263.17503272352,Bachelor's Degree,Single,0,Average,No
28,female,2,own,little,28723.283268205472,18,furniture/equipment,good,826686.3917011273,Bachelor's Degree,Married,1,High,Yes
35,male,2,own,moderate,25618.337990756776,12,radio/TV,good,83177.22043428755,Master's Degree,Single,0,High,Yes
31,male,2,rent,little,49543.523614575664,24,business,bad,358994.4759170496,Doctorate,Married,0,High,No
64,female,2,own,moderate,21580.32997009793,13,radio/TV,good,486506.0585267356,Master's Degree,Single,3,Average,Yes
40,male,3,own,little,21297.71537553859,24,vacation/others,bad,425971.792809981,High School Diploma,Married,3,Average,No
49,male,2,rent,rich,93323.78091793632,12,furniture/equipment,good,1149501.352396997,Doctorate,Single,3,Average,No
33,female,2,own,quite rich,16989.303791645074,18,car,bad,1268434.786956885,Bachelor's Degree,Married,2,High,Yes
29,female,2,own,little,65117.66171507596,15,car,bad,1395386.909015315,Bachelor's Degree,Single,2,Average,No
31,male,2,own,little,44424.89497368438,18,car,bad,391152.1589190893,Associates's Degree,Married,3,Average,No
32,male,2,rent,little,46422.55135287776,24,furniture/equipment,good,1194463.4742316413,Doctorate,Single,1,Average,Yes
43,male,2,free,quite rich,20442.106480926665,24,car,bad,748682.2890737184,Doctorate,Single,3,Low,No
24,male,2,own,quite rich,46042.566195156855,12,radio/TV,good,193648.03251199756,Doctorate,Single,0,High,Yes
75,male,3,free,little,101510.89656219052,24,car,good,724547.7798929207,High School Diploma,Single,0,High,Yes
28,male,1,rent,little,94690.53657264236,18,car,good,45669.88477253766,High School Diploma,Single,0,Average,Yes
23,female,1,own,little,15766.306552266367,18,car,bad,1271926.5460582078,High School Diploma,Married,3,Average,Yes
54,female,3,rent,little,55376.230610526334,15,radio/TV,good,1312015.9149865715,High School Diploma,Married,1,High,No
21,male,1,own,little,20229.84336497595,12,furniture/equipment,good,818421.782293249,Master's Degree,Single,0,High,No
23,female,2,rent,little,6277.8504422887545,15,education,good,29566.195029810147,Associate's Degree,Single,0,Low,No
27,female,2,own,rich,19555.221011466303,18,furniture/equipment,good,43907.93289492044,Associate's Degree,Single,0,Average,No
63,male,2,own,little,24221.01615579883,15,furniture/equipment,good,1371741.73371657,High School Diploma,Single,2,Low,No
55,male,2,own,little,109252.2260126518,24,furniture/equipment,bad,442446.2079683768,Bachelor's Degree,Single,3,High,Yes
28,male,2,own,little,14446.9957644259,12,car,bad,629620.07689576,Bachelor's Degree,Married,2,Low,No
46,male,2,free,little,58872.878585946586,48,car,bad,102982.02539569304,High School Diploma,Married,1,High,No
23,female,1,own,little,31859.413857382464,13,radio/TV,good,413880.5987005257,Doctorate,Married,0,Average,Yes
24,female,2,rent,little,24191.89358008539,6,radio/TV,good,659953.040119406,High School Diploma,Married,3,Average,Yes
26,male,2,own,little,19082.727592813306,12,radio/TV,good,32330.50547204948,High School Diploma,Single,0,Low,Yes
36,male,2,own,little,27437.77056345619,15,car,good,715172.3539933267,High School Diploma,Single,1,Average,No
35,male,3,own,little,16861.37180447941,6,furniture/equipment,good,948205.8691781485,Doctorate,Married,0,Average,No
36,male,1,own,little,68235.0677395079,24,business,bad,306472.59641895536,Master's Degree,Single,3,Low,Yes
31,male,3,own,little,135888.2089511041,36,car,good,526562.0599286288,Master's Degree,Married,3,High,No
64,female,2,own,little,21103.64096699837,13,radio/TV,good,456391.9215956681,Master's Degree,Single,3,Average,Yes
27,female,2,own,little,22407.45219538408,9,business,good,580483.622605904,High School Diploma,Single,3,High,Yes
25,male,2,own,little,20420.933806110566,12,radio/TV,good,114967.09399722712,Associate's Degree,Married,0,High,No
42,male,2,own,little,55651.11028863884,36,furniture/equipment,bad,38800.06159373162,Bachelor's Degree,Single,0,Average,No
40,male,2,own,moderate,46967.8874004742,30,radio/TV,good,561575.0032795172,Bachelor's Degree,Married,3,Average,No
31,female,3,own,little,41800.001336287074,21,car,good,523519.2678741844,High School Diploma,Single,0,Average,No
23,male,1,own,little,20574.75312325885,24,car,bad,23450.817532237976,Bachelor's Degree,Single,2,Average,Yes
39,male,3,rent,little,52996.3686479464,24,furniture/equipment,bad,748637.7193186145,Master's Degree,Single,1,Low,No
33,female,2,own,little,17804.65240241865,18,furniture/equipment,bad,30680.014795647166,Bachelor's Degree,Single,3,High,Yes
29,female,2,own,quite rich,53304.24905184242,21,radio/TV,good,596254.0051415333,Doctorate,Single,1,Average,Yes
23,female,2,rent,moderate,39688.78920786936,15,car,good,962687.953357102,Associates's Degree,Married,2,Low,Yes
55,male,2,own,little,22503.652078233907,12,car,good,152874.11617817948,Master's Degree,Single,2,Average,No
26,female,2,rent,little,50416.31142645386,18,furniture/equipment,bad,86354.97092571898,Doctorate,Single,0,Average,No
63,male,3,free,little,222312.64397200727,60,car,good,800600.3141534099,Doctorate,Single,1,High,No
54,male,2,free,little,25241.68817720995,24,education,good,1425381.2075754867,Doctorate,Married,0,High,No
47,male,2,own,little,38555.33962171082,21,car,good,305685.3636706093,Master's Degree,Married,3,High,Yes
48,male,3,own,moderate,187268.1684092309,48,business,good,907117.5498749432,Bachelor's Degree,Single,0,High,Yes
57,female,1,free,little,45182.96020251756,12,education,good,1001999.1848785386,Associates's Degree,Single,1,Average,No
25,female,2,own,little,18564.869196231,9,radio/TV,good,1168688.619851712,High School Diploma,Married,3,High,No
28,female,2,rent,little,39993.44722149663,15,car,bad,643290.9868509751,Master's Degree,Married,3,High,Yes
24,male,2,own,moderate,143005.84954934457,36,car,bad,335029.03782581026,High School Diploma,Married,1,Low,Yes
26,female,2,own,little,50543.03373695018,24,radio/TV,good,131626.1259879314,High School Diploma,Single,0,High,Yes
59,female,2,own,moderate,77272.44935597919,15,car,good,100563.52059043944,High School Diploma,Married,3,Low,Yes
29,male,3,rent,little,29698.442735436147,24,radio/TV,good,1025432.3926762576,Associates's Degree,Single,1,Average,No
28,male,1,own,little,46204.23534883054,21,car,good,46184.54418877738,Doctorate,Single,0,Low,No
26,female,2,own,little,21624.14140583106,12,car,bad,935089.1316469492,Doctorate,Married,2,Average,Yes
25,male,2,own,little,32027.29427663264,9,furniture/equipment,good,1094595.5051671793,High School Diploma,Single,3,Average,No
40,male,2,own,little,25995.3434746962,24,furniture/equipment,good,855105.0472953396,Doctorate,Married,1,High,Yes
35,female,2,own,quite rich,37813.65775639406,24,radio/TV,bad,1012824.672169684,Master's Degree,Single,3,High,No
29,male,2,own,rich,41646.400783817626,20,vacation/others,good,694798.4608294187,Bachelor's Degree,Single,0,Low,No
40,male,3,own,little,60485.349140576494,30,car,good,901603.5836056886,Master's Degree,Single,0,Low,No
28,female,2,rent,little,67169.18989410132,24,car,bad,1140977.677387843,High School Diploma,Married,2,Average,No
54,male,2,free,little,24170.3415555087,24,education,good,1331082.3214519068,Doctorate,Married,0,High,No
63,male,1,own,little,24903.63292682768,12,radio/TV,good,1195862.2459654135,Master's Degree,Married,2,Average,Yes
37,male,2,own,little,20033.67213742968,10,domestic appliances,good,101313.0058283883,Doctorate,Single,0,High,Yes
27,male,1,own,rich,17376.281798327065,9,radio/TV,good,1123683.949656038,Doctorate,Single,1,Low,No
30,male,2,own,little,91638.89284093233,18,car,good,117266.33496937994,High School Diploma,Single,0,High,No
22,male,2,free,quite rich,61077.15528578881,14,car,good,143928.28985995366,Associates's Degree,Single,3,High,Yes
44,female,3,free,little,204270.9629747941,24,car,bad,28223.8516354019,Associate's Degree,Single,0,Low,Yes
25,female,1,own,little,75519.71630098452,24,furniture/equipment,bad,155849.61767625684,Associates's Degree,Single,1,Low,No
39,female,1,own,little,14393.943951391908,6,education,good,40326.53414405311,Bachelor's Degree,Married,3,Average,No
45,male,2,own,little,165209.4448359442,36,car,good,595869.2365891866,Associates's Degree,Married,0,High,Yes
28,female,3,own,little,50326.00163817484,36,furniture/equipment,bad,1089336.954803245,High School Diploma,Single,2,High,Yes
30,male,2,own,rich,9584.083616883054,12,repairs,bad,77491.4950000886,Doctorate,Married,1,High,No
39,male,2,own,little,24326.384929315336,18,radio/TV,good,41138.671216397306,Master's Degree,Married,3,High,No
28,male,2,own,little,15134.69352448866,12,car,bad,580028.1223140706,Bachelor's Degree,Married,2,Low,No
65,male,2,free,little,39009.88799090925,18,radio/TV,bad,887114.1555718827,Master's Degree,Single,2,Low,Yes
52,male,2,own,moderate,14791.623051837798,9,education,good,26432.04597249305,High School Diploma,Single,3,High,Yes
30,male,2,own,little,124027.17190489624,26,car,good,410633.1963170616,Associates's Degree,Single,2,Average,No
24,female,2,rent,rich,10632.786201153149,12,furniture/equipment,good,1111028.7688556856,High School Diploma,Married,0,Average,No
52,male,2,own,little,11550.899112056706,12,radio/TV,good,1330967.0691760248,Associates's Degree,Married,2,Average,No
39,male,2,free,moderate,20220.46974752814,15,radio/TV,bad,45377.78907212578,Doctorate,Married,3,Average,Yes
61,male,1,own,moderate,19117.72447826065,12,car,good,1151497.3437210436,Associates's Degree,Single,0,High,No
32,male,2,rent,little,187256.0664465287,39,education,good,261432.13779966743,Master's Degree,Married,3,Low,Yes
32,male,1,own,moderate,72721.68060032358,27,furniture/equipment,good,628625.6413905481,Master's Degree,Married,1,High,No
29,female,2,own,little,29628.066502676415,12,car,good,1000195.9840704252,Associates's Degree,Single,1,Average,Yes
20,male,2,rent,little,58178.86623812858,24,furniture/equipment,good,57589.70745663853,Bachelor's Degree,Single,0,Average,Yes
35,male,3,own,little,16300.670972716114,6,furniture/equipment,good,922450.4190404388,Doctorate,Married,0,Average,No
21,male,2,rent,quite rich,49626.92196378085,45,radio/TV,bad,289057.2009047404,High School Diploma,Married,1,Low,No
30,male,2,own,little,90115.96331652287,18,car,good,118256.26008593645,High School Diploma,Single,0,High,No
39,male,2,own,little,24307.106790719325,18,radio/TV,good,42105.63765168429,Master's Degree,Married,3,High,No
